Year,Median_HP,Median_Earnings,Pop,CPI
1997,59950,16885,51559700,70
1998,64500,17631,51720100,71.3
1999,70000,17974,51933500,72.6
2000,78500,19000,52140200,73.4
2001,87950,19898,52359900,74.6
2002,104000,20562,52602200,75.7
2003,125000,21359,52863200,76.7
2004,145500,22284,53152000,77.8
2005,156000,23151,53575300,79.4
2006,164000,23564,53950900,81.4
2007,174000,24255,54387400,83.3
2008,175000,25373,54841800,86.2
2009,165000,25998,55235300,87.9
2010,178500,26076,55692500,90.1
2011,177000,26290,56171000,93.6
2012,180000,26633,56577700,96
2013,183000,27169,56989800,98.2
2014,190000,27321,57444100,99.6
2015,204000,27680,57881400,100
2016,215000,28325,58366200,101
2017,225000,28939,58700900,103.6
2018,233000,29667,59008300,106
2019,236000,30526,59317800,107.8
2020,246000,31605,59430500,108.9
2021,280000,31300,59660500,111.6
2022,275500,33133,60245200,120.5
2023,285000,34998,60854700,128.6