Year,UK,North East,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Nothern Ireland
2002,685.1258065,601.5225806,630.9677419,647.7935484,641.483871,728.9430108,841.1150538,762.5946237,643.411828,619.5752688,647.2677419,599.4193548
2003,697.7695364,605.3668874,648.5456954,666.162649,654.4180132,745.6116556,857.1856954,778.9456954,663.0537748,636.4556291,659.426755,607.9576159
2004,715.4931937,629.4701571,668.2146597,668.3853403,670.6041885,763.9664921,870.1298429,788.2031414,677.4314136,653.5361257,666.678534,635.9560209
2005,722.7311054,642.4462725,670.437018,690.885347,678.314653,765.4714653,882.7979434,785.9197943,680.4935733,659.3748072,686.8627249,645.6308483
2006,728.5319899,642.9672544,677.4559194,694.8644836,683.5324937,765.3198992,882.9098237,798.9874055,690.5944584,663.8246851,702.7476071,661.0327456
2007,731.2627451,640.8137255,680.1254902,687.1568627,688.9147059,766.8990196,888.35,802.695098,691.3117647,662.8666667,704.5754902,640.0147059
2008,743.7457143,654.6390476,689.7228571,698.8819048,698.2609524,774.6380952,902.7095238,814.6895238,701.5209524,659.4514286,718.5971429,648.2742857
2009,740.7023256,664.8883721,686.267907,697.7916279,692.6362791,772.544186,907.0381395,813.6353488,697.4883721,674.1376744,714.4706977,662.0074419
2010,728.7488789,648.1991031,676.1210762,686.7928251,685.9156951,765.0035874,886.4860987,800.8197309,684.6,666.9112108,711.3524664,639.7201794
2011,697.1922747,627.5150215,645.983691,655.0781116,650.8806867,734.5493562,851.7974249,775.9639485,659.695279,636.7493562,681.6618026,622.7579399
2012,687.4525,617.9058333,631.8966667,647.2458333,637.4658333,721.8183333,833.0658333,754.9616667,648.4683333,617.9058333,676.8575,622.66
2013,686.3576806,626.3975585,635.550763,640.7243133,640.7243133,720.9806714,813.5739573,739.6850458,643.5100712,630.5098678,673.7554425,616.0504578
2014,675.188012,620.9958042,623.992008,630.1146853,626.8579421,702.2841159,803.8945055,738.8899101,645.8773227,625.2947053,675.5788212,599.2407592
2015,688.0264264,633.8562563,627.3297297,640.9049049,642.3407407,718.7011011,810.3335335,750.42002,650.4336336,636.4668669,687.8958959,632.2898899
2016,700.9325349,640.807984,648.4862275,652.6506986,660.5892216,741.1457086,822.2227545,757.1528942,668.1373253,649.657485,697.5489022,642.4998004
2017,696.9873664,638.8206025,636.539553,654.7879495,655.2948494,728.5418853,828.9080661,755.1541302,667.840622,640.8482021,693.692517,633.6248785
2018,703.0960152,632.3286528,643.8345351,655.5878558,662.516129,729.200759,829.9081594,760.7491461,665.1142315,641.483871,696.1677419,641.2364326
2019,709.201487,644.001487,655.3933086,663.5130112,667.5122677,739.4988848,847.4788104,771.129368,679.7524164,654.4237918,700.8394052,648.0007435
2020,703.9196313,631.2081106,648.6348387,676.0368664,663.0569585,730.24,858.476682,755.959447,671.7102304,657.8890323,715.0967742,635.2943779
2021,722.2336058,647.4993642,671.7791099,677.8194369,685.6363306,740.8283379,866.4908265,781.6893733,682.3200727,678.0563124,734.195822,680.0697548
2022,697.4226667,631.788,646.0233333,656.6726667,668.3,728.0666667,833.0386667,748.7133333,675.9066667,656.6726667,696.8793333,645.6973333
2023,681.7,613.7,631.5,640.2,651.6,705.7,796.3,723.5,663.7,636.1,702.4,643.3